CMDLINE python3 adjoint.py
MEM 579.218750 1738751468.2318
MEM 579.218750 1738751468.3370
MEM 579.218750 1738751468.4421
MEM 579.484375 1738751468.5473
MEM 579.703125 1738751468.6524
MEM 579.781250 1738751468.7575
MEM 580.031250 1738751468.8627
MEM 580.031250 1738751468.9679
MEM 580.031250 1738751469.0694
MEM 579.906250 1738751469.1702
MEM 579.687500 1738751469.2754
MEM 579.687500 1738751469.3805
MEM 579.687500 1738751469.4856
MEM 579.687500 1738751469.5908
MEM 579.687500 1738751469.6960
MEM 579.687500 1738751469.8012
MEM 579.687500 1738751469.9063
MEM 579.687500 1738751470.0115
MEM 579.687500 1738751470.1166
MEM 579.687500 1738751470.2203
MEM 579.687500 1738751470.3255
MEM 579.687500 1738751470.4306
MEM 579.687500 1738751470.5358
MEM 579.687500 1738751470.6409
MEM 579.687500 1738751470.7414
MEM 579.687500 1738751470.8465
MEM 579.781250 1738751470.9517
MEM 579.796875 1738751471.0569
MEM 579.843750 1738751471.1620
MEM 579.859375 1738751471.2672
MEM 579.875000 1738751471.3723
MEM 580.093750 1738751471.4774
MEM 580.078125 1738751471.5826
MEM 579.765625 1738751471.6877
MEM 579.765625 1738751471.7929
MEM 579.734375 1738751471.8936
MEM 580.031250 1738751471.9988
MEM 583.734375 1738751472.1039
MEM 584.281250 1738751472.2091
MEM 584.281250 1738751472.3143
MEM 584.281250 1738751472.4195
MEM 584.281250 1738751472.5247
MEM 584.281250 1738751472.6298
MEM 584.375000 1738751472.7350
MEM 584.375000 1738751472.8402
MEM 584.375000 1738751472.9454
MEM 584.625000 1738751473.0505
MEM 584.687500 1738751473.1556
MEM 584.687500 1738751473.2608
MEM 584.687500 1738751473.3660
MEM 584.687500 1738751473.4711
MEM 584.687500 1738751473.5715
MEM 584.703125 1738751473.6766
MEM 584.703125 1738751473.7818
MEM 584.703125 1738751473.8870
MEM 584.703125 1738751473.9921
MEM 584.843750 1738751474.0972
MEM 584.937500 1738751474.2025
MEM 584.937500 1738751474.3076
MEM 584.937500 1738751474.4128
MEM 584.937500 1738751474.5179
MEM 584.937500 1738751474.6183
MEM 585.187500 1738751474.7230
MEM 585.203125 1738751474.8282
MEM 585.203125 1738751474.9333
MEM 585.203125 1738751475.0384
MEM 585.390625 1738751475.1435
MEM 585.500000 1738751475.2486
MEM 585.500000 1738751475.3537
MEM 585.500000 1738751475.4589
MEM 585.500000 1738751475.5640
MEM 585.500000 1738751475.6692
MEM 585.546875 1738751475.7742
MEM 585.546875 1738751475.8795
MEM 585.546875 1738751475.9846
MEM 585.578125 1738751476.0898
MEM 585.625000 1738751476.1949
MEM 585.671875 1738751476.3001
MEM 585.671875 1738751476.4031
MEM 585.671875 1738751476.5083
MEM 585.671875 1738751476.6135
MEM 585.671875 1738751476.7186
MEM 585.671875 1738751476.8238
MEM 585.671875 1738751476.9289
MEM 585.671875 1738751477.0340
MEM 585.671875 1738751477.1392
MEM 585.671875 1738751477.2443
MEM 585.703125 1738751477.3495
MEM 589.515625 1738751477.4546
MEM 589.687500 1738751477.5598
