CMDLINE python3 adjoint.py
MEM 461.343750 1738750449.2456
MEM 461.390625 1738750449.3506
MEM 461.453125 1738750449.4557
MEM 461.562500 1738750449.5584
MEM 461.468750 1738750449.6601
MEM 461.437500 1738750449.7651
MEM 461.500000 1738750449.8702
MEM 461.500000 1738750449.9753
MEM 461.500000 1738750450.0803
MEM 461.562500 1738750450.1853
MEM 461.796875 1738750450.2904
MEM 461.843750 1738750450.3954
MEM 462.000000 1738750450.5005
MEM 462.078125 1738750450.6055
MEM 462.109375 1738750450.7106
MEM 462.031250 1738750450.8157
MEM 462.031250 1738750450.9209
MEM 462.046875 1738750451.0260
MEM 469.265625 1738750451.1311
MEM 469.703125 1738750451.2362
MEM 469.671875 1738750451.3413
MEM 469.750000 1738750451.4463
MEM 469.750000 1738750451.5513
MEM 469.750000 1738750451.6563
MEM 469.781250 1738750451.7614
MEM 469.750000 1738750451.8664
MEM 469.781250 1738750451.9714
MEM 469.796875 1738750452.0765
MEM 469.828125 1738750452.1815
MEM 469.843750 1738750452.2865
MEM 469.859375 1738750452.3916
MEM 469.859375 1738750452.4966
MEM 469.859375 1738750452.6016
MEM 469.828125 1738750452.7066
MEM 469.765625 1738750452.8116
MEM 469.765625 1738750452.9168
MEM 469.765625 1738750453.0218
MEM 469.765625 1738750453.1269
MEM 469.609375 1738750453.2319
MEM 469.578125 1738750453.3370
MEM 469.546875 1738750453.4420
MEM 469.546875 1738750453.5470
MEM 469.609375 1738750453.6521
MEM 469.656250 1738750453.7571
MEM 469.656250 1738750453.8621
MEM 469.656250 1738750453.9672
MEM 469.656250 1738750454.0722
MEM 469.734375 1738750454.1772
MEM 469.734375 1738750454.2823
MEM 469.765625 1738750454.3873
MEM 469.765625 1738750454.4923
MEM 469.765625 1738750454.5973
MEM 469.765625 1738750454.7024
MEM 469.765625 1738750454.8074
MEM 469.796875 1738750454.9090
MEM 469.828125 1738750455.0140
MEM 470.171875 1738750455.1190
MEM 470.203125 1738750455.2241
MEM 470.203125 1738750455.3291
MEM 470.406250 1738750455.4332
MEM 470.562500 1738750455.5382
MEM 470.531250 1738750455.6433
MEM 470.531250 1738750455.7483
MEM 470.546875 1738750455.8533
MEM 470.562500 1738750455.9584
MEM 470.562500 1738750456.0590
MEM 470.562500 1738750456.1640
