CMDLINE /Users/sghelichkhani/Workplace/firedrake-2025-01-23/bin/python3 adjoint.py
MEM 601.468750 1739142570.5164
MEM 601.468750 1739142570.6215
MEM 601.640625 1739142570.7266
MEM 601.640625 1739142570.8318
MEM 601.671875 1739142570.9369
MEM 601.671875 1739142571.0420
MEM 601.687500 1739142571.1472
MEM 601.656250 1739142571.2523
MEM 601.656250 1739142571.3574
MEM 601.625000 1739142571.4626
MEM 601.625000 1739142571.5677
MEM 601.625000 1739142571.6729
MEM 601.640625 1739142571.7780
MEM 601.671875 1739142571.8832
MEM 601.843750 1739142571.9883
MEM 601.843750 1739142572.0934
MEM 601.875000 1739142572.1985
MEM 601.875000 1739142572.3037
MEM 601.875000 1739142572.4089
MEM 601.875000 1739142572.5140
MEM 601.875000 1739142572.6192
MEM 601.843750 1739142572.7244
MEM 601.843750 1739142572.8295
MEM 601.843750 1739142572.9347
MEM 601.843750 1739142573.0398
MEM 601.859375 1739142573.1450
MEM 601.968750 1739142573.2501
MEM 601.968750 1739142573.3553
MEM 602.000000 1739142573.4598
MEM 602.015625 1739142573.5649
MEM 602.015625 1739142573.6701
MEM 601.984375 1739142573.7752
MEM 601.984375 1739142573.8789
MEM 601.953125 1739142573.9820
MEM 601.953125 1739142574.0872
MEM 601.953125 1739142574.1923
MEM 601.953125 1739142574.2975
MEM 602.203125 1739142574.4026
MEM 602.375000 1739142574.5056
MEM 602.375000 1739142574.6107
MEM 602.406250 1739142574.7159
MEM 602.421875 1739142574.8210
MEM 602.421875 1739142574.9261
MEM 602.390625 1739142575.0313
MEM 602.359375 1739142575.1364
MEM 602.359375 1739142575.2413
MEM 602.359375 1739142575.3464
MEM 602.359375 1739142575.4516
MEM 602.375000 1739142575.5567
MEM 602.390625 1739142575.6618
MEM 602.500000 1739142575.7670
MEM 602.500000 1739142575.8721
MEM 602.531250 1739142575.9773
MEM 602.531250 1739142576.0824
MEM 602.562500 1739142576.1875
MEM 602.531250 1739142576.2926
MEM 602.500000 1739142576.3978
MEM 602.500000 1739142576.5030
MEM 602.500000 1739142576.6074
MEM 602.500000 1739142576.7090
MEM 602.515625 1739142576.8141
MEM 604.359375 1739142576.9193
MEM 604.531250 1739142577.0244
MEM 604.531250 1739142577.1296
MEM 604.562500 1739142577.2315
MEM 604.578125 1739142577.3366
MEM 604.578125 1739142577.4417
MEM 604.562500 1739142577.5448
MEM 604.562500 1739142577.6472
MEM 604.531250 1739142577.7485
MEM 604.531250 1739142577.8496
MEM 604.531250 1739142577.9521
MEM 604.531250 1739142578.0573
MEM 604.546875 1739142578.1624
MEM 605.078125 1739142578.2672
MEM 605.109375 1739142578.3724
MEM 605.140625 1739142578.4776
MEM 605.265625 1739142578.5801
MEM 605.265625 1739142578.6851
MEM 605.281250 1739142578.7904
MEM 605.250000 1739142578.8938
MEM 605.250000 1739142578.9990
MEM 605.250000 1739142579.1041
MEM 605.250000 1739142579.2093
MEM 605.265625 1739142579.3144
MEM 605.406250 1739142579.4196
MEM 605.703125 1739142579.5247
MEM 605.703125 1739142579.6299
MEM 605.734375 1739142579.7350
MEM 605.750000 1739142579.8402
MEM 605.750000 1739142579.9452
MEM 605.718750 1739142580.0479
MEM 605.718750 1739142580.1531
MEM 605.718750 1739142580.2582
MEM 605.687500 1739142580.3634
MEM 605.687500 1739142580.4670
MEM 605.718750 1739142580.5722
MEM 605.796875 1739142580.6773
MEM 605.890625 1739142580.7824
MEM 605.890625 1739142580.8876
MEM 605.921875 1739142580.9927
MEM 605.937500 1739142581.0978
MEM 605.937500 1739142581.1992
MEM 605.968750 1739142581.3044
MEM 605.968750 1739142581.4096
MEM 605.968750 1739142581.5126
MEM 605.937500 1739142581.6178
MEM 605.937500 1739142581.7230
MEM 605.953125 1739142581.8282
MEM 606.328125 1739142581.9333
MEM 606.546875 1739142582.0384
MEM 606.578125 1739142582.1436
MEM 606.609375 1739142582.2488
MEM 606.609375 1739142582.3539
MEM 606.609375 1739142582.4590
MEM 606.593750 1739142582.5642
MEM 606.562500 1739142582.6693
MEM 606.562500 1739142582.7744
MEM 606.562500 1739142582.8793
MEM 606.562500 1739142582.9844
